Feature ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Confidence
2ef57dab754f7e1cbcdc71321a2eb475	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae	Odoribacter		0.9999999014
310e1b0125888ac49bf01d4fc73500d5	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7			0.9996267186
316518570e0f5f2e80e9faa739ba61c3	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira		0.9990146336
3195fc0cedb1d1f97e0cd8baa87c9ddd	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira		0.7365595442
31d3907c0249d62c68eff5f0c0fba5bd	Bacteria	Firmicutes	Clostridia	Clostridiales				0.9018676005
331fc977cac4e84f73ff14b516461247	Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	Allobaculum		0.9949730456
333eeb7c3b5da675f6404bcd54185cd4	Bacteria	Firmicutes	Clostridia	Clostridiales	Mogibacteriaceae			0.999807795
339c217c21337357bb07dd8e952fc736	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7			0.9999989413
339edbbb7f9a5e66f3b15b5c1e8584a0	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae			0.8886899484
34676f35315ec89c0c6ca942cdf19783	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Akkermansia	muciniphila	1
34948188149de76cb8db67376711ff5a	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae			0.9998301861
349d4f244ee16ad41bf691740151b6de	Bacteria	Firmicutes	Clostridia	Clostridiales	Dehalobacteriaceae	Dehalobacterium		0.9999993388
34a8f64c050eb72ab8e6bdfecd7bbec1	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7			0.9999973117
34f5e40f9fb2818d0692b993e5c9b923	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		0.703985614
35010999c57dad98a671073caa37bb86	Bacteria	Firmicutes	Clostridia	Clostridiales				0.9990388557
352361c531d7ff65424fcb273ce41cd3	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio		0.9900125287
36402f6154239da8ce422da64a0bd247	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus		0.9669167758
364506be6c9449c5f49eb48125651017	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7			0.9999969648
368174ae42dcd28cf26838c88105ff1e	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus		0.999320908
36be43c248f8e4a7b60a4739cd8dd932	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira		0.9999346251
370f2cf2716730b0f3642c5e3fadd6c1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	reuteri	0.989209695
37d748b0279fd55ccd64b148d0d9035e	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides		0.9999935421
387717ee717e81644a3dcdfc28d0f9d3	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus		0.8550132584
388a3f608a968be8a363ba7865c52773	Bacteria	Firmicutes	Clostridia	Clostridiales				0.9981208521
397731e49550c271ca821c5d04dc97d4	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7			0.9999998901
398fcb7395db32c5e81e19d8b53d53f7	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae			0.8994219252
3a9a1e63391182d1fd4ee4d8fcedaa4a	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7			0.9998631749
3aa40e565f980baad9e4a0c574c2c5c2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae	Odoribacter		0.9999998179
3af2197bbd2daf9be46127b58559c91f	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae			0.7447252352
3aff78260a59b8706e4e7480f813ddfa	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae			0.9936063935
3b3911ebf489800d79dfdeae7478d9aa	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae			0.8531096759
3b5401345151054bcf7c51e27b714513	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus		0.9999730872
3b55de6ff3515692a992b7596724486a	Bacteria	Proteobacteria	Alphaproteobacteria	RF32				0.9999947193
3b95e0f1591eaba498597929fe306cc2	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Ruminococcus	gnavus	0.9999533628
3bb2345e75362cce7a3b307870370f33	Bacteria							0.9916312479
3c7d430222d68c68a505a56036eff624	Bacteria	Firmicutes	Clostridia	Clostridiales				0.8473314224
3c92275b64192f31a190c4d6b60001ba	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella		0.9897941719
3d5e613f198d00d7b8e1c46e313d0da5	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium		0.9999345171
3d668e41425d59778c96b83f922ab851	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus		0.9939635292
3d80710fb18afb303baf125753fd7ac8	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7			0.99999972
